model,label_file,ari,n_messages
225758,"labels_20250227_225758_[llama3.3:70b, wizardlm2:8x22b-conversation_detection_prompt_ruleschange_thisiscere.csv",1.0,0
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-conversation_detection_prompt_thisiscere.csv",1.0,0
094941,labels_20250228_094941_llama3.3:70b-prompt_ale_3_thisiscere.csv,1.0,0
225758,"labels_20250227_225758_[llama3.3:70b, wizardlm2:8x22b-conv-dec-lea1_thisiscere.csv",1.0,0
091856,labels_20250228_091856_llama3.3:70b-conv-dec-lea4_thisiscere.csv,0.32418249336019966,46
094941,labels_20250228_094941_llama3.3:70b-conversation_detection_prompt_thisiscere.csv,1.0,0
094941,labels_20250228_094941_llama3.3:70b-CD_prompt_alejandro_2_thisiscere.csv,1.0,0
230825,labels_20250227_230825_['mistral']-conversation_detection_lea_prompt1_thisiscere.csv,1.0,0
230231,"labels_20250227_230231_['llama3.3:70b', 'wizardlm2:8x22b']-conversation_detection_prompt_thisiscere.csv",1.0,0
230231,"labels_20250227_230231_['llama3.3:70b', 'wizardlm2:8x22b']-conversation_detection_prompt_withoutCSV_thisiscere.csv",1.0,0
231343,labels_20250227_231343_mistral-CD_prompt_alejandro_bt_thisiscere.csv,1.0,0
225758,"labels_20250227_225758_[llama3.3:70b, wizardlm2:8x22b-conv-dec-lea2_thisiscere.csv",1.0,0
094941,labels_20250228_094941_llama3.3:70b-prompt_ale_3_emojis_thisiscere.csv,1.0,0
230231,"labels_20250227_230231_['llama3.3:70b', 'wizardlm2:8x22b']-CD_prompt_alejandro_bt_thisiscere.csv",1.0,0
230231,"labels_20250227_230231_['llama3.3:70b', 'wizardlm2:8x22b']-conversation_detection_prompt_ruleschange_thisiscere.csv",1.0,0
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-conv-dec-lea4_thisiscere.csv",1.0,0
143535,labels_20250131_143535_gpt4o_thisiscere.csv,0.5833638248566898,49
120330,labels_20250228_120330_orca-mini:70b-conv-dec-lea4_thisiscere.csv,0.17916137229987295,17
092826,labels_20250228_092826_llama3.3:70b-conv-dec-lea1_thisiscere.csv,0.19393238628138845,67
204114,labels_20250227_204114_deepseek-r1:70b-conversation_detection_prompt_withoutCSV_thisiscere.csv,0.20680998150450258,47
230825,labels_20250227_230825_['mistral']-CD_prompt_helen-small-model-formatting-fix_thisiscere.csv,1.0,0
095547,labels_20250227_095547_mistral7b_thisiscere.csv,0.2919288153873809,27
114402,labels_20250228_114402_deepseek-llm:67b-CD_prompt_alejandro_2_thisiscere.csv,1.0,0
094941,labels_20250228_094941_llama3.3:70b-prompt_ale_1_thisiscere.csv,1.0,0
231343,labels_20250227_231343_mistral-conv-dec-lea1_thisiscere.csv,1.0,0
094941,labels_20250228_094941_llama3.3:70b-conversation_detection_prompt_ruleschange_thisiscere.csv,1.0,0
231343,labels_20250227_231343_mistral-CD_prompt_alejandro_1_thisiscere.csv,1.0,0
230825,labels_20250227_230825_['mistral']-conversation_detection_prompt_ruleschange_thisiscere.csv,1.0,0
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-conversation_detection_prompt_withoutCSV_thisiscere.csv",1.0,0
094941,labels_20250228_094941_llama3.3:70b-prompt_ale_2_thisiscere.csv,1.0,0
094941,labels_20250228_094941_llama3.3:70b-CD_prompt_helen-small-model-formatting-fix_thisiscere.csv,1.0,0
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-prompt_ale_1_thisiscere.csv",1.0,0
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-CD_prompt_alejandro_2_thisiscere.csv",1.0,0
230231,"labels_20250227_230231_['llama3.3:70b', 'wizardlm2:8x22b']-CD_prompt_helen-small-model-formatting-fix_thisiscere.csv",1.0,0
111719,labels_20250228_111719_llama3.3:70b-CD_prompt_alejandro_1_thisiscere.csv,1.0,0
231343,labels_20250227_231343_mistral-conversation_detection_prompt_thisiscere.csv,1.0,0
214600,labels_20250227_214600_llama3.3:70b-conversation_detection_prompt_withoutCSV_thisiscere.csv,0.31853725209435524,73
230231,"labels_20250227_230231_['llama3.3:70b', 'wizardlm2:8x22b']-conv-dec-lea2_thisiscere.csv",1.0,0
225758,"labels_20250227_225758_[llama3.3:70b, wizardlm2:8x22b-CD_prompt_alejandro_2_thisiscere.csv",1.0,0
102855,labels_20250228_102855_llama3.3:70b-conv-dec-lea4_thisiscere.csv,0.17622038944204663,59
094941,labels_20250228_094941_llama3.3:70b-conversation_detection_lea_prompt1_thisiscere.csv,1.0,0
231417,labels_20250227_231417_mistral-CD_prompt_alejandro_2_thisiscere.csv,1.0,0
225758,"labels_20250227_225758_[llama3.3:70b, wizardlm2:8x22b-conversation_detection_prompt_withoutCSV_thisiscere.csv",1.0,0
094941,labels_20250228_094941_llama3.3:70b-conversation_detection_prompt_withoutCSV_thisiscere.csv,1.0,0
230611,labels_20250227_230611_['mistral']-conversation_detection_prompt_thisiscere.csv,1.0,0
225758,"labels_20250227_225758_[llama3.3:70b, wizardlm2:8x22b-CD_prompt_helen-small-model-formatting-fix_thisiscere.csv",1.0,0
231839,labels_20250227_231839_wizardlm-conv-dec-lea1_thisiscere.csv,1.0,0
230611,labels_20250227_230611_['mistral']-conversation_detection_prompt_ruleschange_thisiscere.csv,1.0,0
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-CD_prompt_alejandro_bt_thisiscere.csv",1.0,0
231343,labels_20250227_231343_mistral-conv-dec-lea2_thisiscere.csv,1.0,0
230611,labels_20250227_230611_['mistral']-CD_prompt_alejandro_1_thisiscere.csv,1.0,0
225758,"labels_20250227_225758_[llama3.3:70b, wizardlm2:8x22b-conversation_detection_prompt_thisiscere.csv",1.0,0
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-conv-dec-lea1_thisiscere.csv",1.0,0
230825,labels_20250227_230825_['mistral']-CD_prompt_alejandro_bt_thisiscere.csv,1.0,0
231417,labels_20250227_231417_mistral-conversation_detection_prompt_thisiscere.csv,1.0,0
115721,labels_20250228_115721_llama3.3:70b-instruct-q2_K-conv-dec-lea2_thisiscere.csv,0.14195647983308576,70
231906,labels_20250227_231906_wizardlm2-conv-dec-lea1_thisiscere.csv,1.0,0
094941,labels_20250228_094941_llama3.3:70b-conv-dec-lea3_thisiscere.csv,1.0,0
231417,labels_20250227_231417_mistral-conversation_detection_lea_prompt1_thisiscere.csv,1.0,0
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-prompt_ale_3_thisiscere.csv",1.0,0
225758,"labels_20250227_225758_[llama3.3:70b, wizardlm2:8x22b-CD_prompt_alejandro_bt_thisiscere.csv",1.0,0
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-conversation_detection_lea_prompt1_thisiscere.csv",1.0,0
091604,labels_20250228_091604_llama3.3:70b-CD_prompt_alejandro_1_thisiscere.csv,1.0,0
231417,labels_20250227_231417_mistral-conversation_detection_prompt_withoutCSV_thisiscere.csv,1.0,0
104606,labels_20250227_104606_mistral_thisiscere.csv,-0.01777689746097377,30
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-prompt_ale_3_emojis_thisiscere.csv",1.0,0
231343,labels_20250227_231343_mistral-conversation_detection_lea_prompt1_thisiscere.csv,1.0,0
124524,labels_20250228_124524_mistral-small:24b-conv-dec-lea4_thisiscere.csv,1.0,0
230825,labels_20250227_230825_['mistral']-CD_prompt_alejandro_2_thisiscere.csv,1.0,0
134053,labels_20250228_134053_llama3.3-conv-dec-lea1_thisiscere.csv,0.20058877801988323,67
103804,labels_20250228_103804_deepseek-llm:67b-conv-dec-lea2_thisiscere.csv,0.1731635651322233,36
231417,labels_20250227_231417_mistral-conv-dec-lea2_thisiscere.csv,1.0,0
230825,labels_20250227_230825_['mistral']-conv-dec-lea1_thisiscere.csv,1.0,0
232851,labels_20250227_232851_llama3.3-conv-dec-lea1_thisiscere.csv,0.2965343505652304,67
171944,labels_20250131_171944_claude35s_thisiscere.csv,0.5680705190989226,49
120057,labels_20250228_120057_llama3.3:70b-instruct-q2_K-CD_prompt_alejandro_1_thisiscere.csv,1.0,0
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-CD_prompt_helen-small-model-formatting-fix_thisiscere.csv",1.0,0
230611,labels_20250227_230611_['mistral']-conv-dec-lea2_thisiscere.csv,1.0,0
122736,labels_20250228_122736_mixtral:8x22b-conv-dec-lea4_thisiscere.csv,1.0,0
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-prompt_ale_2_thisiscere.csv",1.0,0
230231,"labels_20250227_230231_['llama3.3:70b', 'wizardlm2:8x22b']-conv-dec-lea1_thisiscere.csv",1.0,0
110619,labels_20250228_110619_llama3.3:70b-conv-dec-lea1_thisiscere.csv,0.35671584052845107,67
230611,labels_20250227_230611_['mistral']-CD_prompt_helen-small-model-formatting-fix_thisiscere.csv,1.0,0
234016,labels_20250227_234016_wizardlm2:8x22b-*_thisiscere.csv,0.19336760295976452,55
231343,labels_20250227_231343_mistral-CD_prompt_alejandro_2_thisiscere.csv,1.0,0
230611,labels_20250227_230611_['mistral']-conversation_detection_prompt_withoutCSV_thisiscere.csv,1.0,0
230611,labels_20250227_230611_['mistral']-conversation_detection_lea_prompt1_thisiscere.csv,1.0,0
102548,labels_20250228_102548_llama3.3:70b-CD_prompt_alejandro_1_thisiscere.csv,1.0,0
230611,labels_20250227_230611_['mistral']-CD_prompt_alejandro_bt_thisiscere.csv,1.0,0
201632,labels_20250227_201632_deepseek-r1:7b-conversation_detection_prompt1_thisiscere.csv,0.08321138136079877,27
230611,labels_20250227_230611_['mistral']-CD_prompt_alejandro_2_thisiscere.csv,1.0,0
225758,"labels_20250227_225758_[llama3.3:70b, wizardlm2:8x22b-conversation_detection_lea_prompt1_thisiscere.csv",1.0,0
231833,labels_20250227_231833_wizardlm-conv-dec-lea1_thisiscere.csv,1.0,0
230231,"labels_20250227_230231_['llama3.3:70b', 'wizardlm2:8x22b']-conversation_detection_lea_prompt1_thisiscere.csv",1.0,0
094941,labels_20250228_094941_llama3.3:70b-conv-dec-lea4_thisiscere.csv,1.0,0
111848,labels_20250228_111848_llama3.3:70b-conv-dec-lea4_thisiscere.csv,0.200163183028965,66
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-conv-dec-lea3_thisiscere.csv",1.0,0
230231,"labels_20250227_230231_['llama3.3:70b', 'wizardlm2:8x22b']-CD_prompt_alejandro_1_thisiscere.csv",1.0,0
094941,labels_20250228_094941_llama3.3:70b-conv-dec-lea1_thisiscere.csv,1.0,0
231417,labels_20250227_231417_mistral-CD_prompt_alejandro_1_thisiscere.csv,1.0,0
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-CD_prompt_alejandro_1_thisiscere.csv",1.0,0
231343,labels_20250227_231343_mistral-conversation_detection_prompt_withoutCSV_thisiscere.csv,1.0,0
